aaHappiness in life,aboveAvg Happiness,Achievements,Action,Active sport,Adrenaline sports,Age,Ageing,Alternative,Animated,Appearence and gestures,Art exhibitions,Assertiveness,Biology,Borrowed stuff,Branded clothing,Cars,Celebrities,Changing the past,Charity,Cheating in school,Chemistry,Children,Classical music,Comedy,Compassion to animals,Country,"Countryside, outdoors",Criminal damage,Daily events,Dance,Dancing,Dangerous dogs,Darkness,Decision making,Documentary,Dreams,Eating to survive,Economy Management,Elections,Empathy,Energy levels,Entertainment spending,Fake,Fantasy/Fairy tales,Fear of public speaking,Final judgement,Finances,Finding lost valuables,Flying,Folk,Foreign languages,Friends versus money,Fun with friends,Funniness,Gardening,Geography,Getting angry,Getting up,Giving,God,Health,Healthy eating,Height,Heights,"Hiphop, Rap",History,Horror,Hypochondria,Interests or hobbies,Internet,Judgment calls,Keeping promises,Knowing the right people,Latino,Law,Life struggles,Loneliness,Loss of interest,Mathematics,Medicine,Metal or Hardrock,Mood swings,Movies,Music,Musical,Musical instruments,New environment,Number of friends,Number of siblings,Only child,Opera,Parents' advice,Passive sport,PC,Personality,Pets,Physics,Politics,Pop,Prioritising workload,Psychology,Public speaking,Punk,Questionnaires or polls,Rats,Reading,"Reggae, Ska",Reliability,Religion,Responding to a serious letter,Rock,Rock n roll,Romantic,Science and technology,Sci-fi,Self-criticism,Shopping,Shopping centres,Slow songs or fast songs,Small - big dogs,Snakes,Socializing,Spending on gadgets,Spending on healthy eating,Spending on looks,Spiders,Storm,"Swing, Jazz","Techno, Trance",Theatre,Thinking ahead,Thriller,Unpopularity,Waiting,War,Weight,Western,Workaholism,Writing,Writing notes,Alcohol,Village - town,Smoking,Education,Gender,House - block of flats,Internet usage,Left - right handed,Lying,Punctuality,Validation
4,1,4,2,5,4,20,1,1,5,4,1,1,3,4,5,1,1,1,2,2,3,5,2,5,5,2,5,1,2,2,3,3,1,3,3,4,1,5,4,3,5,3,1,5,2,5,3,3,1,1,5,3,5,5,5,3,1,2,4,1,1,4,163,1,1,1,4,1,3,5,3,4,3,1,1,1,3,1,3,3,1,3,5,5,1,3,4,3,1,0,1,4,1,3,4,4,3,1,5,2,5,5,1,3,3,3,1,4,1,3,5,3,4,4,4,1,4,4,3,1,5,3,1,3,3,1,1,1,1,2,2,2,5,3,1,48,1,4,2,5,drink a lot,village,never smoked,college/bachelor degree,female,block of flats,few hours a day,right handed,never,i am always on time,1
4,1,2,4,1,2,19,3,4,5,4,2,2,1,3,1,2,2,4,1,4,1,2,1,4,4,1,1,1,3,2,1,1,1,2,4,3,1,5,5,2,3,4,2,3,4,1,3,4,1,1,5,4,4,3,1,4,5,5,2,1,4,3,163,2,1,1,2,1,3,4,4,4,4,2,2,1,2,3,5,1,4,4,5,4,2,1,4,3,2,0,1,2,1,4,3,5,2,4,3,2,3,4,4,3,1,4,3,4,1,4,5,4,3,3,4,4,3,4,4,5,1,4,5,2,2,1,1,1,1,2,4,2,4,3,1,58,1,5,1,4,drink a lot,city,never smoked,college/bachelor degree,female,block of flats,few hours a day,right handed,sometimes,i am often early,1
4,1,3,1,2,5,20,1,5,5,3,5,3,1,2,1,1,1,5,3,3,1,4,4,4,4,3,5,1,1,2,5,1,1,3,2,1,5,4,5,5,4,4,4,5,2,3,2,3,1,2,5,5,5,2,1,2,4,4,5,5,2,3,176,1,1,1,3,1,5,4,4,5,3,5,3,4,5,1,5,2,3,4,5,5,5,5,3,3,2,0,3,3,5,2,3,5,2,1,3,2,2,2,4,1,1,5,4,4,5,4,5,5,2,2,4,4,4,4,5,3,1,5,4,2,3,1,1,3,1,5,5,4,4,2,2,67,2,3,5,5,drink a lot,city,tried smoking,secondary school,female,block of flats,few hours a day,right handed,sometimes,i am often running late,0
2,0,3,2,1,1,22,4,5,2,3,5,5,3,5,3,1,2,5,3,5,3,2,1,3,2,1,1,5,4,2,1,5,1,5,5,3,1,2,5,3,2,3,1,1,5,1,2,1,2,1,4,2,2,1,1,4,5,1,1,4,1,3,172,3,2,4,4,3,0,3,4,4,4,1,5,3,5,5,4,2,1,5,5,5,1,1,1,1,1,1,1,2,1,1,2,1,1,5,2,4,4,5,4,4,5,5,2,3,4,3,2,2,3,3,4,5,4,4,3,1,5,1,4,1,4,5,1,1,2,1,3,4,3,1,3,59,1,5,3,4,drink a lot,city,former smoker,college/bachelor degree,female,house/bungalow,most of the day,right handed,only to avoid hurting someone,i am often early,1
3,0,3,4,1,2,20,2,2,4,3,1,4,3,4,4,3,3,4,3,5,3,5,4,5,3,2,4,1,3,4,1,4,1,3,3,3,1,2,5,3,5,3,2,4,3,5,4,2,1,3,3,3,4,3,4,2,2,4,3,5,3,4,170,1,5,3,4,1,3,2,5,4,3,4,2,2,3,2,2,3,1,2,5,5,3,3,4,3,1,0,2,3,3,2,3,1,2,3,5,1,2,5,2,3,2,5,3,5,4,3,3,1,2,3,3,5,3,3,3,3,1,3,2,4,3,1,2,2,2,2,5,4,5,3,3,59,1,3,1,2,social drinker,village,tried smoking,secondary school,female,house/bungalow,few hours a day,right handed,everytime it suits me,i am always on time,0
3,0,2,4,4,3,20,1,5,3,3,2,4,4,5,3,5,1,3,2,4,4,3,3,5,5,2,5,4,2,2,1,1,2,2,3,3,2,1,5,4,4,3,1,4,3,1,2,3,3,3,4,2,3,3,2,3,3,3,3,3,3,2,186,2,4,5,5,1,5,4,4,4,4,3,3,3,2,3,2,4,5,3,5,5,3,5,4,3,1,0,3,3,5,4,3,2,3,4,2,2,3,4,3,4,2,3,3,3,2,2,5,4,2,3,3,4,2,3,3,4,2,4,4,4,1,1,2,4,1,1,3,5,4,3,3,77,2,3,1,3,never,city,never smoked,secondary school,male,block of flats,few hours a day,right handed,only to avoid hurting someone,i am often early,1
5,1,4,2,3,1,20,4,3,5,4,1,3,5,5,1,4,1,1,3,2,5,2,2,5,5,1,4,2,3,5,3,1,2,2,3,3,1,3,5,4,4,3,1,5,1,3,4,2,1,3,4,4,5,4,3,3,3,2,5,5,3,4,177,1,3,3,2,1,4,2,5,5,4,3,3,5,3,3,1,5,1,5,4,5,2,2,5,3,1,0,2,4,5,1,3,5,1,1,5,5,3,3,1,5,1,3,1,4,1,3,3,2,3,4,1,3,3,3,5,3,5,5,1,5,4,1,3,1,5,3,3,1,3,4,3,50,1,5,1,5,social drinker,village,tried smoking,secondary school,female,house/bungalow,less than an hour a day,right handed,never,i am often early,1
4,1,4,3,5,2,19,1,1,4,4,1,3,2,2,4,1,3,2,1,5,2,4,2,5,5,1,2,1,3,3,1,2,4,3,3,4,2,1,5,1,4,4,2,4,4,3,3,2,3,2,4,4,4,4,1,3,1,5,3,4,3,2,184,3,3,5,4,2,4,5,5,3,4,2,2,2,2,1,1,1,1,3,5,5,2,1,4,4,1,0,2,3,4,4,4,5,1,3,4,1,2,5,2,3,3,2,2,3,2,3,5,3,2,2,3,3,3,4,3,3,5,2,3,2,4,1,2,2,3,2,4,4,2,1,3,90,1,2,1,3,drink a lot,city,current smoker,college/bachelor degree,male,house/bungalow,few hours a day,right handed,sometimes,i am always on time,0
3,0,2,1,1,1,18,2,0,4,4,1,1,3,5,3,1,5,5,1,5,1,4,2,5,4,1,4,1,1,3,1,3,1,4,5,4,1,1,1,5,1,2,2,4,4,5,2,5,2,1,1,4,4,2,1,1,3,5,1,5,4,1,166,5,1,3,1,2,1,1,2,4,3,1,1,4,4,1,1,1,5,3,5,5,4,2,2,2,1,0,1,4,4,1,3,1,1,1,3,2,2,4,1,3,2,5,2,5,2,2,5,2,4,1,4,3,2,1,3,5,5,4,3,4,1,5,3,2,1,5,2,5,5,2,5,55,1,4,1,1,social drinker,city,tried smoking,secondary school,female,house/bungalow,few hours a day,right handed,sometimes,i am often early,1
4,1,4,2,4,2,19,3,4,4,3,4,4,2,4,4,1,2,2,2,3,1,3,2,5,5,2,4,2,4,2,5,5,4,5,4,3,1,4,5,4,4,2,1,4,3,5,4,3,4,5,5,4,5,3,1,4,3,4,4,5,4,3,174,5,2,3,2,1,3,5,5,5,4,5,1,5,2,3,3,1,2,4,5,5,5,3,4,3,3,0,2,3,4,1,3,2,1,3,3,2,2,5,3,3,4,4,4,4,4,4,5,4,5,3,1,4,4,4,3,1,4,4,2,4,3,3,5,4,1,5,3,1,3,1,3,60,1,3,1,2,drink a lot,city,never smoked,secondary school,female,block of flats,few hours a day,right handed,sometimes,i am often running late,1
